"","O18","NA.","NA..1","elev"
"1",-17.1886863708496,-117.95835815,50.95827695,2031.40319824219
"2",-16.6575698852539,-117.87502485,50.95827695,1724.23840332031
"3",-17.0476226806641,-117.79169155,50.95827695,1817.94592285156
"4",-17.1381912231445,-117.70835825,50.95827695,2118.751953125
"5",-15.3050832748413,-117.62502495,50.95827695,1000.48565673828
"6",-17.2565269470215,-117.54169165,50.95827695,2405.80297851562
"7",-17.7556037902832,-117.45835835,50.95827695,1899.22961425781
"8",-18.2155094146729,-117.37502505,50.95827695,2845.59423828125
"9",-17.7635555267334,-117.29169175,50.95827695,1721.41442871094
"10",-17.1427440643311,-117.20835845,50.95827695,1108.17077636719
"11",-18.4740314483643,-117.12502515,50.95827695,2622.052734375
"12",-19.0366535186768,-117.04169185,50.95827695,2675.181640625
"13",-18.0647830963135,-116.95835855,50.95827695,1625.69677734375
"14",-18.2349491119385,-116.87502525,50.95827695,2214.71606445312
"15",-18.0233516693115,-116.79169195,50.95827695,2246.0849609375
"16",-17.2079010009766,-116.70835865,50.95827695,1125.97961425781
"17",-16.5352439880371,-116.62502535,50.95827695,1101.55676269531
"18",-16.5121631622314,-116.54169205,50.95827695,965
"19",-16.61155128479,-116.45835875,50.95827695,930.889038085938
"20",-18.0210666656494,-116.37502545,50.95827695,1572.93725585938
"21",-18.5760383605957,-116.29169215,50.95827695,2287.47045898438
"22",-17.8428192138672,-116.20835885,50.95827695,1344.59924316406
"23",-18.3908004760742,-116.12502555,50.95827695,1514.44323730469
"24",-19.1478500366211,-116.04169225,50.95827695,2055.89013671875
"25",-16.0353183746338,-117.95835815,50.87494365,752.681579589844
"26",-15.870210647583,-117.87502485,50.87494365,1445.73815917969
"27",-17.1780967712402,-117.79169155,50.87494365,1991.8818359375
"28",-16.50465965271,-117.70835825,50.87494365,1564.27844238281
"29",-15.1958618164062,-117.62502495,50.87494365,721.310424804688
"30",-16.5308532714844,-117.54169165,50.87494365,1082.76696777344
"31",-17.6694240570068,-117.45835835,50.87494365,2210.333984375
"32",-18.1059074401855,-117.37502505,50.87494365,1804.06079101562
"33",-18.1905097961426,-117.29169175,50.87494365,1647.46069335938
"34",-16.8166923522949,-117.20835845,50.87494365,1508.50561523438
"35",-18.259428024292,-117.12502515,50.87494365,2550.1826171875
"36",-18.3209190368652,-117.04169185,50.87494365,1758.82080078125
"37",-17.9686183929443,-116.95835855,50.87494365,2288.13500976562
"38",-18.0687942504883,-116.87502525,50.87494365,1554.96240234375
"39",-19.081485748291,-116.79169195,50.87494365,2224.63623046875
"40",-19.3766021728516,-116.70835865,50.87494365,2619.43603515625
"41",-17.8415641784668,-116.62502535,50.87494365,2000.50793457031
"42",-16.8048286437988,-116.54169205,50.87494365,1409.25061035156
"43",-16.5175590515137,-116.45835875,50.87494365,1041.17761230469
"44",-16.3513259887695,-116.37502545,50.87494365,809.131591796875
"45",-17.8916130065918,-116.29169215,50.87494365,1362.28161621094
"46",-18.944314956665,-116.20835885,50.87494365,2232.25366210938
"47",-18.1551952362061,-116.12502555,50.87494365,1783.23510742188
"48",-17.4811954498291,-116.04169225,50.87494365,1167.23999023438
"49",-16.0737609863281,-117.95835815,50.79161035,1365.14709472656
"50",-16.7764492034912,-117.87502485,50.79161035,2009.66162109375
"51",-16.6405277252197,-117.79169155,50.79161035,1947.86254882812
"52",-15.70556640625,-117.70835825,50.79161035,1439.61267089844
"53",-15.4779891967773,-117.62502495,50.79161035,998.445617675781
"54",-17.4394207000732,-117.54169165,50.79161035,1720.53747558594
"55",-17.3410415649414,-117.45835835,50.79161035,1641.59924316406
"56",-16.9050636291504,-117.37502505,50.79161035,1601.4736328125
"57",-17.16286277771,-117.29169175,50.79161035,1088.68017578125
"58",-16.3572902679443,-117.20835845,50.79161035,876.942993164062
"59",-17.781551361084,-117.12502515,50.79161035,1947.23999023438
"60",-18.2587852478027,-117.04169185,50.79161035,2328.55541992188
"61",-18.8727264404297,-116.95835855,50.79161035,2219.90771484375
"62",-18.987419128418,-116.87502525,50.79161035,2604.21899414062
"63",-18.6462097167969,-116.79169195,50.79161035,2335.40747070312
"64",-18.2621726989746,-116.70835865,50.79161035,2064.23803710938
"65",-18.9209823608398,-116.62502535,50.79161035,2338.31005859375
"66",-18.8550148010254,-116.54169205,50.79161035,1946.30480957031
"67",-17.4509792327881,-116.45835875,50.79161035,2040.91540527344
"68",-16.6571159362793,-116.37502545,50.79161035,1120.57397460938
"69",-16.5870838165283,-116.29169215,50.79161035,1094.53759765625
"70",-17.0795669555664,-116.20835885,50.79161035,906.906677246094
"71",-18.2090282440186,-116.12502555,50.79161035,1451.66882324219
"72",-18.3607578277588,-116.04169225,50.79161035,2217.96557617188
"73",-14.1158180236816,-117.95835815,50.70827705,441
"74",-15.3470344543457,-117.87502485,50.70827705,1163.23486328125
"75",-14.2349910736084,-117.79169155,50.70827705,441
"76",-15.0943336486816,-117.70835825,50.70827705,807.412780761719
"77",-16.6635150909424,-117.62502495,50.70827705,1811.1767578125
"78",-17.3406963348389,-117.54169165,50.70827705,1789.18688964844
"79",-16.5744609832764,-117.45835835,50.70827705,1059.31359863281
"80",-17.6609153747559,-117.37502505,50.70827705,2506.75415039062
"81",-17.4791011810303,-117.29169175,50.70827705,1480.44226074219
"82",-17.1097202301025,-117.20835845,50.70827705,2054.40014648438
"83",-15.9986257553101,-117.12502515,50.70827705,1117.51110839844
"84",-16.9101505279541,-117.04169185,50.70827705,2092.34326171875
"85",-18.2834568023682,-116.95835855,50.70827705,2558.8486328125
"86",-17.7563381195068,-116.87502525,50.70827705,2264.6640625
"87",-19.0326023101807,-116.79169195,50.70827705,2840.89672851562
"88",-18.1108512878418,-116.70835865,50.70827705,1944.91198730469
"89",-18.7885246276855,-116.62502535,50.70827705,2477.080078125
"90",-18.7730617523193,-116.54169205,50.70827705,1591.40649414062
"91",-18.6491298675537,-116.45835875,50.70827705,1840.60241699219
"92",-17.7823810577393,-116.37502545,50.70827705,2193.85083007812
"93",-16.7292957305908,-116.29169215,50.70827705,1068.35241699219
"94",-16.6298713684082,-116.20835885,50.70827705,1233.42041015625
"95",-16.9527778625488,-116.12502555,50.70827705,934.724731445312
"96",-18.7418746948242,-116.04169225,50.70827705,1740.77001953125
"97",-14.029182434082,-117.95835815,50.62494375,973.06787109375
"98",-13.7909088134766,-117.87502485,50.62494375,441
"99",-15.6204452514648,-117.79169155,50.62494375,1830.90148925781
"100",-16.9714622497559,-117.70835825,50.62494375,1648.8095703125
"101",-16.0481376647949,-117.62502495,50.62494375,1245.93176269531
"102",-15.1417245864868,-117.54169165,50.62494375,917.424011230469
"103",-15.6868934631348,-117.45835835,50.62494375,1273.08154296875
"104",-16.9576721191406,-117.37502505,50.62494375,2139.95434570312
"105",-17.4438323974609,-117.29169175,50.62494375,1457.03344726562
"106",-17.582555770874,-117.20835845,50.62494375,1904.96789550781
"107",-17.5541229248047,-117.12502515,50.62494375,2160.26391601562
"108",-15.3709278106689,-117.04169185,50.62494375,589.329467773438
"109",-17.7727756500244,-116.95835855,50.62494375,2634.15673828125
"110",-18.2286167144775,-116.87502525,50.62494375,1978.90856933594
"111",-17.471471786499,-116.79169195,50.62494375,1529.02661132812
"112",-17.8520469665527,-116.70835865,50.62494375,1667.11682128906
"113",-18.7663555145264,-116.62502535,50.62494375,2206.66796875
"114",-19.2213954925537,-116.54169205,50.62494375,2628.54370117188
"115",-18.739953994751,-116.45835875,50.62494375,2180.04736328125
"116",-18.4457721710205,-116.37502545,50.62494375,2365.201171875
"117",-17.4142169952393,-116.29169215,50.62494375,1273.25598144531
"118",-16.624267578125,-116.20835885,50.62494375,1040.26086425781
"119",-16.2675838470459,-116.12502555,50.62494375,982.46240234375
"120",-17.3848819732666,-116.04169225,50.62494375,1392.52673339844
"121",-13.9927139282227,-117.95835815,50.54161045,688.24560546875
"122",-15.1313877105713,-117.87502485,50.54161045,1292.51440429688
"123",-16.348669052124,-117.79169155,50.54161045,1729.21765136719
"124",-16.6210060119629,-117.70835825,50.54161045,1873.35900878906
"125",-17.027681350708,-117.62502495,50.54161045,1765.03393554688
"126",-16.6938190460205,-117.54169165,50.54161045,2028.14855957031
"127",-16.2511348724365,-117.45835835,50.54161045,1808.85083007812
"128",-15.5967931747437,-117.37502505,50.54161045,721
"129",-16.8484497070312,-117.29169175,50.54161045,1735.13781738281
"130",-16.5349426269531,-117.20835845,50.54161045,1064.35925292969
"131",-17.473030090332,-117.12502515,50.54161045,2327.46630859375
"132",-15.9857110977173,-117.04169185,50.54161045,1852.29357910156
"133",-16.5059013366699,-116.95835855,50.54161045,927.536071777344
"134",-17.3754081726074,-116.87502525,50.54161045,1600.37878417969
"135",-17.0483932495117,-116.79169195,50.54161045,1750.8935546875
"136",-18.5215797424316,-116.70835865,50.54161045,2405.00390625
"137",-18.7926063537598,-116.62502535,50.54161045,2398.33325195312
"138",-18.0960807800293,-116.54169205,50.54161045,1976.71545410156
"139",-18.2055015563965,-116.45835875,50.54161045,2246.40454101562
"140",-17.9255046844482,-116.37502545,50.54161045,1629.44555664062
"141",-17.6694679260254,-116.29169215,50.54161045,1853.85363769531
"142",-17.1221580505371,-116.20835885,50.54161045,1500.05688476562
"143",-16.3005065917969,-116.12502555,50.54161045,988.163940429688
"144",-16.3116436004639,-116.04169225,50.54161045,801.935180664062
"145",-13.7592687606812,-117.95835815,50.45827715,445.117523193359
"146",-14.3368148803711,-117.87502485,50.45827715,495.204803466797
"147",-15.931134223938,-117.79169155,50.45827715,1680.60803222656
"148",-16.3500556945801,-117.70835825,50.45827715,1407.07678222656
"149",-16.3559112548828,-117.62502495,50.45827715,1391.37280273438
"150",-17.0950679779053,-117.54169165,50.45827715,1709.42736816406
"151",-17.1046409606934,-117.45835835,50.45827715,1471.44885253906
"152",-16.8050727844238,-117.37502505,50.45827715,1278.82885742188
"153",-16.0351810455322,-117.29169175,50.45827715,1976.21057128906
"154",-15.6787014007568,-117.20835845,50.45827715,895.721496582031
"155",-16.8839588165283,-117.12502515,50.45827715,2062.83447265625
"156",-16.572135925293,-117.04169185,50.45827715,1483.62658691406
"157",-15.1604290008545,-116.95835855,50.45827715,1161.08068847656
"158",-16.7867565155029,-116.87502525,50.45827715,1802.75695800781
"159",-18.5189342498779,-116.79169195,50.45827715,2630.48266601562
"160",-19.1163940429688,-116.70835865,50.45827715,2694.57690429688
"161",-18.6817264556885,-116.62502535,50.45827715,1908.87634277344
"162",-18.5997428894043,-116.54169205,50.45827715,2277.74389648438
"163",-19.4252433776855,-116.45835875,50.45827715,3141.32763671875
"164",-19.3579177856445,-116.37502545,50.45827715,2642.24291992188
"165",-18.1117649078369,-116.29169215,50.45827715,2182.28540039062
"166",-17.7011585235596,-116.20835885,50.45827715,1594.57983398438
"167",-17.2558059692383,-116.12502555,50.45827715,1772.73681640625
"168",-16.2281188964844,-116.04169225,50.45827715,971.118774414062
"169",-13.8403549194336,-117.95835815,50.37494385,650.808776855469
"170",-14.7964839935303,-117.87502485,50.37494385,778.181579589844
"171",-16.2101535797119,-117.79169155,50.37494385,1783.16394042969
"172",-16.6398258209229,-117.70835825,50.37494385,1691.615234375
"173",-16.6686763763428,-117.62502495,50.37494385,1492.76989746094
"174",-16.7122039794922,-117.54169165,50.37494385,2252.12915039062
"175",-16.5316104888916,-117.45835835,50.37494385,1606.85522460938
"176",-17.4464473724365,-117.37502505,50.37494385,2327.35620117188
"177",-17.2576446533203,-117.29169175,50.37494385,2471.35302734375
"178",-16.4592227935791,-117.20835845,50.37494385,1311.35705566406
"179",-15.5808849334717,-117.12502515,50.37494385,1405.52478027344
"180",-15.4282913208008,-117.04169185,50.37494385,835.938415527344
"181",-14.6071338653564,-116.95835855,50.37494385,580
"182",-17.2021560668945,-116.87502525,50.37494385,1744.96179199219
"183",-17.9435615539551,-116.79169195,50.37494385,2132.56567382812
"184",-17.4353733062744,-116.70835865,50.37494385,1601.62109375
"185",-18.2328586578369,-116.62502535,50.37494385,2275.36962890625
"186",-18.5602245330811,-116.54169205,50.37494385,2146.42553710938
"187",-18.1927795410156,-116.45835875,50.37494385,1657.89721679688
"188",-17.7496852874756,-116.37502545,50.37494385,2027.6767578125
"189",-18.0686531066895,-116.29169215,50.37494385,1964.38818359375
"190",-18.854118347168,-116.20835885,50.37494385,2212.16235351562
"191",-18.3423347473145,-116.12502555,50.37494385,1916.90563964844
"192",-17.3041820526123,-116.04169225,50.37494385,1693.5087890625
"193",-14.5680685043335,-117.95835815,50.29161055,1236.3974609375
"194",-13.891429901123,-117.87502485,50.29161055,441
"195",-15.4012804031372,-117.79169155,50.29161055,1429.74987792969
"196",-15.7566251754761,-117.70835825,50.29161055,790.150085449219
"197",-15.9822635650635,-117.62502495,50.29161055,1265.11364746094
"198",-16.4610576629639,-117.54169165,50.29161055,1960.59448242188
"199",-16.5818214416504,-117.45835835,50.29161055,2255.44287109375
"200",-17.1618480682373,-117.37502505,50.29161055,1975.88830566406
"201",-17.3683242797852,-117.29169175,50.29161055,2121
"202",-17.5566482543945,-117.20835845,50.29161055,1888.07678222656
"203",-17.5727252960205,-117.12502515,50.29161055,1903.98864746094
"204",-15.1573238372803,-117.04169185,50.29161055,1242.880859375
"205",-14.4010438919067,-116.95835855,50.29161055,670.39599609375
"206",-16.456615447998,-116.87502525,50.29161055,1446.28149414062
"207",-17.8260078430176,-116.79169195,50.29161055,2787.18725585938
"208",-18.3176288604736,-116.70835865,50.29161055,2833.8271484375
"209",-17.9910163879395,-116.62502535,50.29161055,1737.51647949219
"210",-18.1970272064209,-116.54169205,50.29161055,2221.74072265625
"211",-17.8368396759033,-116.45835875,50.29161055,1869.66284179688
"212",-18.6445598602295,-116.37502545,50.29161055,2834.96630859375
"213",-18.4775810241699,-116.29169215,50.29161055,2298.94604492188
"214",-18.3444519042969,-116.20835885,50.29161055,2494.82153320312
"215",-18.1966285705566,-116.12502555,50.29161055,2379.66528320312
"216",-17.3716793060303,-116.04169225,50.29161055,1725.89807128906
"217",-14.4302186965942,-117.95835815,50.20827725,637.708190917969
"218",-14.7570734024048,-117.87502485,50.20827725,1338.77380371094
"219",-13.9105024337769,-117.79169155,50.20827725,441
"220",-15.0664186477661,-117.70835825,50.20827725,592.662963867188
"221",-16.1848297119141,-117.62502495,50.20827725,1955.619140625
"222",-15.9780569076538,-117.54169165,50.20827725,1308.38684082031
"223",-16.1016254425049,-117.45835835,50.20827725,2021.31127929688
"224",-16.5666656494141,-117.37502505,50.20827725,2230.71240234375
"225",-16.9669075012207,-117.29169175,50.20827725,2263.20190429688
"226",-17.3956298828125,-117.20835845,50.20827725,1966.01379394531
"227",-16.7363510131836,-117.12502515,50.20827725,1062.7265625
"228",-15.9419059753418,-117.04169185,50.20827725,1672.23205566406
"229",-14.4950494766235,-116.95835855,50.20827725,541.193176269531
"230",-16.3055667877197,-116.87502525,50.20827725,1221.150390625
"231",-17.0890293121338,-116.79169195,50.20827725,2026.94372558594
"232",-18.0102386474609,-116.70835865,50.20827725,2424.08862304688
"233",-18.2587547302246,-116.62502535,50.20827725,2069.95849609375
"234",-18.5876178741455,-116.54169205,50.20827725,2681.54809570312
"235",-18.2092361450195,-116.45835875,50.20827725,2434.0361328125
"236",-17.9828319549561,-116.37502545,50.20827725,1606.22314453125
"237",-18.5644493103027,-116.29169215,50.20827725,2581.67993164062
"238",-18.3251647949219,-116.20835885,50.20827725,2335.88647460938
"239",-18.2178573608398,-116.12502555,50.20827725,2314.36010742188
"240",-16.9980316162109,-116.04169225,50.20827725,1328.8525390625
"241",-14.1866292953491,-117.95835815,50.12494395,537.177612304688
"242",-14.7590742111206,-117.87502485,50.12494395,770.969909667969
"243",-14.627197265625,-117.79169155,50.12494395,867.415222167969
"244",-15.4759178161621,-117.70835825,50.12494395,1196.37072753906
"245",-15.8242311477661,-117.62502495,50.12494395,1944.84533691406
"246",-15.439302444458,-117.54169165,50.12494395,691.665649414062
"247",-15.8034477233887,-117.45835835,50.12494395,1415.71435546875
"248",-15.2311916351318,-117.37502505,50.12494395,722.808776855469
"249",-17.0192680358887,-117.29169175,50.12494395,2017.04736328125
"250",-17.3517913818359,-117.20835845,50.12494395,2034.12976074219
"251",-16.6250762939453,-117.12502515,50.12494395,1667.98034667969
"252",-16.5496482849121,-117.04169185,50.12494395,1784.91198730469
"253",-14.5665187835693,-116.95835855,50.12494395,1059.44519042969
"254",-16.4344959259033,-116.87502525,50.12494395,1626.62683105469
"255",-17.4669284820557,-116.79169195,50.12494395,1990.25109863281
"256",-17.1265678405762,-116.70835865,50.12494395,993.748962402344
"257",-17.4184837341309,-116.62502535,50.12494395,1567.51000976562
"258",-17.673023223877,-116.54169205,50.12494395,1859.95910644531
"259",-18.2232513427734,-116.45835875,50.12494395,2250.15991210938
"260",-18.0839443206787,-116.37502545,50.12494395,2417.68603515625
"261",-17.6312026977539,-116.29169215,50.12494395,1793.79162597656
"262",-18.0331859588623,-116.20835885,50.12494395,2282.5107421875
"263",-17.362434387207,-116.12502555,50.12494395,2124.84741210938
"264",-16.5104560852051,-116.04169225,50.12494395,1115.01733398438
"265",-14.9807987213135,-117.95835815,50.04161065,1517.00402832031
"266",-15.4957084655762,-117.87502485,50.04161065,1455.54565429688
"267",-15.6419839859009,-117.79169155,50.04161065,1279.35412597656
"268",-16.3143367767334,-117.70835825,50.04161065,1345.08068847656
"269",-16.7144889831543,-117.62502495,50.04161065,1758.55834960938
"270",-16.4633121490479,-117.54169165,50.04161065,2110.88427734375
"271",-14.543158531189,-117.45835835,50.04161065,641.451049804688
"272",-15.2482166290283,-117.37502505,50.04161065,1030.64294433594
"273",-15.9872808456421,-117.29169175,50.04161065,1507.67919921875
"274",-16.3800640106201,-117.20835845,50.04161065,1271.96228027344
"275",-16.3948192596436,-117.12502515,50.04161065,1260.63037109375
"276",-16.9583721160889,-117.04169185,50.04161065,2229.75366210938
"277",-15.8557844161987,-116.95835855,50.04161065,1507.49401855469
"278",-14.60817527771,-116.87502525,50.04161065,533
"279",-16.9244327545166,-116.79169195,50.04161065,1843.25354003906
"280",-16.986213684082,-116.70835865,50.04161065,1316.56323242188
"281",-17.3308410644531,-116.62502535,50.04161065,1874.64245605469
"282",-17.7925395965576,-116.54169205,50.04161065,1777.73999023438
"283",-18.3185958862305,-116.45835875,50.04161065,2717.05493164062
"284",-17.4794025421143,-116.37502545,50.04161065,1728
"285",-18.1444244384766,-116.29169215,50.04161065,2122.900390625
"286",-18.6455726623535,-116.20835885,50.04161065,2496.8515625
"287",-18.1544895172119,-116.12502555,50.04161065,2263.38500976562
"288",-17.6677379608154,-116.04169225,50.04161065,2125.76245117188
"289",-15.6810092926025,-117.95835815,50.95827695,2031.40319824219
"290",-15.1787328720093,-117.87502485,50.95827695,1724.23840332031
"291",-15.5496654510498,-117.79169155,50.95827695,1817.94592285156
"292",-15.6285514831543,-117.70835825,50.95827695,2118.751953125
"293",-13.8532638549805,-117.62502495,50.95827695,1000.48565673828
"294",-15.7290620803833,-117.54169165,50.95827695,2405.80297851562
"295",-16.186616897583,-117.45835835,50.95827695,1899.22961425781
"296",-16.5987567901611,-117.37502505,50.95827695,2845.59423828125
"297",-16.1677494049072,-117.29169175,50.95827695,1721.41442871094
"298",-15.5709533691406,-117.20835845,50.95827695,1108.17077636719
"299",-16.8068675994873,-117.12502515,50.95827695,2622.052734375
"300",-17.3158931732178,-117.04169185,50.95827695,2675.181640625
"301",-16.3791408538818,-116.95835855,50.95827695,1625.69677734375
"302",-16.5250949859619,-116.87502525,50.95827695,2214.71606445312
"303",-16.2970848083496,-116.79169195,50.95827695,2246.0849609375
"304",-15.5053071975708,-116.70835865,50.95827695,1125.97961425781
"305",-14.8384075164795,-116.62502535,50.95827695,1101.55676269531
"306",-14.7951335906982,-116.54169205,50.95827695,965
"307",-14.8756647109985,-116.45835875,50.95827695,930.889038085938
"308",-16.2294635772705,-116.37502545,50.95827695,1572.93725585938
"309",-16.7539691925049,-116.29169215,50.95827695,2287.47045898438
"310",-16.0439033508301,-116.20835885,50.95827695,1344.59924316406
"311",-16.567174911499,-116.12502555,50.95827695,1514.44323730469
"312",-17.2888317108154,-116.04169225,50.95827695,2055.89013671875
"313",-14.5896224975586,-117.95835815,50.87494365,752.681579589844
"314",-14.4331035614014,-117.87502485,50.87494365,1445.73815917969
"315",-15.6728916168213,-117.79169155,50.87494365,1991.8818359375
"316",-15.027533531189,-117.70835825,50.87494365,1564.27844238281
