"","x"
"1",1977.97145693109
"2",1826.310798136
"3",2083.20538344197
"4",2008.92261178723
"5",2015.11284275846
"6",1829.40591362162
"7",1919.16426270442
"8",1885.11799236267
"9",1900.59356979074
"10",2200.8197718953
"11",1909.87891624758
"12",1371.32882175074
"13",2436.04854880197
