"","x"
"1",2055.34934407144
"2",1857.26195299214
"3",1950.11541756056
"4",2015.11284275846
"5",1888.21310784828
"6",1971.78122595986
"7",1841.78637556407
"8",2095.58584538442
"9",1987.25680338793
"10",928.727307307926
"11",2488.66551205741
