"","O","NA.","NA..1","elev"
"1",-18.096399307251,-117.95835815,50.95827695,2031.40319824219
"2",-17.7040996551514,-117.87502485,50.95827695,1724.23840332031
"3",-18.0984992980957,-117.79169155,50.95827695,1817.94592285156
"4",-18.2001991271973,-117.70835825,50.95827695,2118.751953125
"5",-16.6317005157471,-117.62502495,50.95827695,1000.48565673828
"6",-18.3665008544922,-117.54169165,50.95827695,2405.80297851562
"7",-18.7936000823975,-117.45835835,50.95827695,1899.22961425781
"8",-19.1599998474121,-117.37502505,50.95827695,2845.59423828125
"9",-18.8134994506836,-117.29169175,50.95827695,1721.41442871094
"10",-18.2943992614746,-117.20835845,50.95827695,1108.17077636719
"11",-19.4281005859375,-117.12502515,50.95827695,2622.052734375
"12",-19.8854999542236,-117.04169185,50.95827695,2675.181640625
"13",-19.021900177002,-116.95835855,50.95827695,1625.69677734375
"14",-19.1634998321533,-116.87502525,50.95827695,2214.71606445312
"15",-18.9074001312256,-116.79169195,50.95827695,2246.0849609375
"16",-18.1424007415771,-116.70835865,50.95827695,1125.97961425781
"17",-17.4683990478516,-116.62502535,50.95827695,1101.55676269531
"18",-17.3700008392334,-116.54169205,50.95827695,965
"19",-17.3994007110596,-116.45835875,50.95827695,930.889038085938
"20",-18.7196998596191,-116.37502545,50.95827695,1572.93725585938
"21",-19.2134990692139,-116.29169215,50.95827695,2287.47045898438
"22",-18.4514999389648,-116.20835885,50.95827695,1344.59924316406
"23",-18.9479999542236,-116.12502555,50.95827695,1514.44323730469
"24",-19.6473999023438,-116.04169225,50.95827695,2055.89013671875
"25",-17.0564002990723,-117.95835815,50.87494365,752.681579589844
"26",-16.9748001098633,-117.87502485,50.87494365,1445.73815917969
"27",-18.1403999328613,-117.79169155,50.87494365,1991.8818359375
"28",-17.590799331665,-117.70835825,50.87494365,1564.27844238281
"29",-16.497200012207,-117.62502495,50.87494365,721.310424804688
"30",-17.6809005737305,-117.54169165,50.87494365,1082.76696777344
"31",-18.6786003112793,-117.45835835,50.87494365,2210.333984375
"32",-19.0816993713379,-117.37502505,50.87494365,1804.06079101562
"33",-19.1457004547119,-117.29169175,50.87494365,1647.46069335938
"34",-17.9596996307373,-117.20835845,50.87494365,1508.50561523438
"35",-19.236499786377,-117.12502515,50.87494365,2550.1826171875
"36",-19.2579002380371,-117.04169185,50.87494365,1758.82080078125
"37",-18.9304008483887,-116.95835855,50.87494365,2288.13500976562
"38",-19.051700592041,-116.87502525,50.87494365,1554.96240234375
"39",-19.9204998016357,-116.79169195,50.87494365,2224.63623046875
"40",-20.163200378418,-116.70835865,50.87494365,2619.43603515625
"41",-18.7075004577637,-116.62502535,50.87494365,2000.50793457031
"42",-17.6952991485596,-116.54169205,50.87494365,1409.25061035156
"43",-17.3570995330811,-116.45835875,50.87494365,1041.17761230469
"44",-17.1249008178711,-116.37502545,50.87494365,809.131591796875
"45",-18.5909996032715,-116.29169215,50.87494365,1362.28161621094
"46",-19.5946998596191,-116.20835885,50.87494365,2232.25366210938
"47",-18.7481002807617,-116.12502555,50.87494365,1783.23510742188
"48",-18.0212993621826,-116.04169225,50.87494365,1167.23999023438
"49",-17.0944004058838,-117.95835815,50.79161035,1365.14709472656
"50",-17.7077007293701,-117.87502485,50.79161035,2009.66162109375
"51",-17.6448001861572,-117.79169155,50.79161035,1947.86254882812
"52",-16.8560009002686,-117.70835825,50.79161035,1439.61267089844
"53",-16.6965999603271,-117.62502495,50.79161035,998.445617675781
"54",-18.4164009094238,-117.54169165,50.79161035,1720.53747558594
"55",-18.3728008270264,-117.45835835,50.79161035,1641.59924316406
"56",-18.0041007995605,-117.37502505,50.79161035,1601.4736328125
"57",-18.2558994293213,-117.29169175,50.79161035,1088.68017578125
"58",-17.5286998748779,-117.20835845,50.79161035,876.942993164062
"59",-18.8069000244141,-117.12502515,50.79161035,1947.23999023438
"60",-19.2008991241455,-117.04169185,50.79161035,2328.55541992188
"61",-19.7474002838135,-116.95835855,50.79161035,2219.90771484375
"62",-19.8285999298096,-116.87502525,50.79161035,2604.21899414062
"63",-19.5149993896484,-116.79169195,50.79161035,2335.40747070312
"64",-19.1511993408203,-116.70835865,50.79161035,2064.23803710938
"65",-19.7446002960205,-116.62502535,50.79161035,2338.31005859375
