"","x"
"1",2143.63163257916
"2",2036.00193192664
"3",2085.60657403571
"4",1897.11465998491
"5",1992.65406577175
"6",2416.50908474129
"7",1861.8328195413
"8",970.820568400728
"9",1905.81193449948
"10",2943.75767455396
