"","O18","NA.","NA..1","elev"
"1",-13.2837572097778,-117.95835815,50.95827695,2031.40319824219
"2",-12.9065589904785,-117.87502485,50.95827695,1724.23840332031
"3",-13.1834278106689,-117.79169155,50.95827695,1817.94592285156
"4",-13.2553768157959,-117.70835825,50.95827695,2118.751953125
"5",-11.9491930007935,-117.62502495,50.95827695,1000.48565673828
"6",-13.3556661605835,-117.54169165,50.95827695,2405.80297851562
"7",-13.746000289917,-117.45835835,50.95827695,1899.22961425781
"8",-14.1228837966919,-117.37502505,50.95827695,2845.59423828125
"9",-13.7955951690674,-117.29169175,50.95827695,1721.41442871094
"10",-13.3591909408569,-117.20835845,50.95827695,1108.17077636719
"11",-14.3701696395874,-117.12502515,50.95827695,2622.052734375
"12",-14.8262147903442,-117.04169185,50.95827695,2675.181640625
"13",-14.1317987442017,-116.95835855,50.95827695,1625.69677734375
"14",-14.2810535430908,-116.87502525,50.95827695,2214.71606445312
"15",-14.1714744567871,-116.79169195,50.95827695,2246.0849609375
"16",-13.61585521698,-116.70835865,50.95827695,1125.97961425781
"17",-13.1782865524292,-116.62502535,50.95827695,1101.55676269531
"18",-13.2063875198364,-116.54169205,50.95827695,965
"19",-13.3146486282349,-116.45835875,50.95827695,930.889038085938
"20",-14.3207950592041,-116.37502545,50.95827695,1572.93725585938
"21",-14.7360134124756,-116.29169215,50.95827695,2287.47045898438
"22",-14.257758140564,-116.20835885,50.95827695,1344.59924316406
"23",-14.6619262695312,-116.12502555,50.95827695,1514.44323730469
"24",-15.2117948532104,-116.04169225,50.95827695,2055.89013671875
"25",-12.4561653137207,-117.95835815,50.87494365,752.681579589844
"26",-12.3432722091675,-117.87502485,50.87494365,1445.73815917969
"27",-13.2683019638062,-117.79169155,50.87494365,1991.8818359375
"28",-12.8040466308594,-117.70835825,50.87494365,1564.27844238281
"29",-11.8753204345703,-117.62502495,50.87494365,721.310424804688
"30",-12.8262958526611,-117.54169165,50.87494365,1082.76696777344
"31",-13.6635971069336,-117.45835835,50.87494365,2210.333984375
"32",-13.998646736145,-117.37502505,50.87494365,1804.06079101562
"33",-14.0897989273071,-117.29169175,50.87494365,1647.46069335938
"34",-13.1060047149658,-117.20835845,50.87494365,1508.50561523438
"35",-14.177149772644,-117.12502515,50.87494365,2550.1826171875
"36",-14.2584810256958,-117.04169185,50.87494365,1758.82080078125
"37",-14.0290555953979,-116.95835855,50.87494365,2288.13500976562
"38",-14.1126699447632,-116.87502525,50.87494365,1554.96240234375
"39",-14.8883075714111,-116.79169195,50.87494365,2224.63623046875
"40",-15.1318225860596,-116.70835865,50.87494365,2619.43603515625
"41",-14.0581569671631,-116.62502535,50.87494365,2000.50793457031
"42",-13.3622598648071,-116.54169205,50.87494365,1409.25061035156
"43",-13.2021350860596,-116.45835875,50.87494365,1041.17761230469
"44",-13.128228187561,-116.37502545,50.87494365,809.131591796875
"45",-14.216121673584,-116.29169215,50.87494365,1362.28161621094
"46",-14.9681558609009,-116.20835885,50.87494365,2232.25366210938
"47",-14.4591159820557,-116.12502555,50.87494365,1783.23510742188
"48",-14.0309171676636,-116.04169225,50.87494365,1167.23999023438
"49",-12.4584264755249,-117.95835815,50.79161035,1365.14709472656
"50",-12.9618282318115,-117.87502485,50.79161035,2009.66162109375
"51",-12.8712558746338,-117.79169155,50.79161035,1947.86254882812
"52",-12.2385959625244,-117.70835825,50.79161035,1439.61267089844
"53",-12.0836706161499,-117.62502495,50.79161035,998.445617675781
"54",-13.4678802490234,-117.54169165,50.79161035,1720.53747558594
"55",-13.4018096923828,-117.45835835,50.79161035,1641.59924316406
"56",-13.1021165847778,-117.37502505,50.79161035,1601.4736328125
"57",-13.2990388870239,-117.29169175,50.79161035,1088.68017578125
"58",-12.7502040863037,-117.20835845,50.79161035,876.942993164062
"59",-13.793155670166,-117.12502515,50.79161035,1947.23999023438
"60",-14.1764974594116,-117.04169185,50.79161035,2328.55541992188
"61",-14.6517372131348,-116.95835855,50.79161035,2219.90771484375
"62",-14.7657461166382,-116.87502525,50.79161035,2604.21899414062
"63",-14.5378227233887,-116.79169195,50.79161035,2335.40747070312
"64",-14.2842950820923,-116.70835865,50.79161035,2064.23803710938
"65",-14.7816095352173,-116.62502535,50.79161035,2338.31005859375
"66",-14.7655744552612,-116.54169205,50.79161035,1946.30480957031
"67",-13.807505607605,-116.45835875,50.79161035,2040.91540527344
"68",-13.2851161956787,-116.37502545,50.79161035,1120.57397460938
"69",-13.2743053436279,-116.29169215,50.79161035,1094.53759765625
"70",-13.6477403640747,-116.20835885,50.79161035,906.906677246094
"71",-14.4421167373657,-116.12502555,50.79161035,1451.66882324219
"72",-14.5759468078613,-116.04169225,50.79161035,2217.96557617188
"73",-11.1077976226807,-117.95835815,50.70827705,441
"74",-11.9633331298828,-117.87502485,50.70827705,1163.23486328125
"75",-11.2091913223267,-117.79169155,50.70827705,441
"76",-11.8092756271362,-117.70835825,50.70827705,807.412780761719
"77",-12.8903226852417,-117.62502495,50.70827705,1811.1767578125
"78",-13.3689403533936,-117.54169165,50.70827705,1789.18688964844
"79",-12.8486528396606,-117.45835835,50.70827705,1059.31359863281
"80",-13.6268930435181,-117.37502505,50.70827705,2506.75415039062
"81",-13.514946937561,-117.29169175,50.70827705,1480.44226074219
"82",-13.273850440979,-117.20835845,50.70827705,2054.40014648438
"83",-12.4952936172485,-117.12502515,50.70827705,1117.51110839844
"84",-13.1617965698242,-117.04169185,50.70827705,2092.34326171875
"85",-14.1771297454834,-116.95835855,50.70827705,2558.8486328125
"86",-13.8218221664429,-116.87502525,50.70827705,2264.6640625
"87",-14.7753438949585,-116.79169195,50.70827705,2840.89672851562
"88",-14.133978843689,-116.70835865,50.70827705,1944.91198730469
"89",-14.6435384750366,-116.62502535,50.70827705,2477.080078125
"90",-14.6596260070801,-116.54169205,50.70827705,1591.40649414062
"91",-14.5950384140015,-116.45835875,50.70827705,1840.60241699219
"92",-14.0266628265381,-116.37502545,50.70827705,2193.85083007812
"93",-13.3228597640991,-116.29169215,50.70827705,1068.35241699219
"94",-13.2899484634399,-116.20835885,50.70827705,1233.42041015625
"95",-13.5480308532715,-116.12502555,50.70827705,934.724731445312
"96",-14.7809352874756,-116.04169225,50.70827705,1740.77001953125
"97",-11.045313835144,-117.95835815,50.62494375,973.06787109375
"98",-10.8848714828491,-117.87502485,50.62494375,441
"99",-12.1375102996826,-117.79169155,50.62494375,1830.90148925781
"100",-13.0746574401855,-117.70835825,50.62494375,1648.8095703125
"101",-12.4570512771606,-117.62502495,50.62494375,1245.93176269531
"102",-11.8450689315796,-117.54169165,50.62494375,917.424011230469
"103",-12.225661277771,-117.45835835,50.62494375,1273.08154296875
"104",-13.1131792068481,-117.37502505,50.62494375,2139.95434570312
"105",-13.4609241485596,-117.29169175,50.62494375,1457.03344726562
"106",-13.5775585174561,-117.20835845,50.62494375,1904.96789550781
"107",-13.5889520645142,-117.12502515,50.62494375,2160.26391601562
"108",-12.0554580688477,-117.04169185,50.62494375,589.329467773438
"109",-13.7842245101929,-116.95835855,50.62494375,2634.15673828125
"110",-14.1383285522461,-116.87502525,50.62494375,1978.90856933594
"111",-13.6097049713135,-116.79169195,50.62494375,1529.02661132812
"112",-13.9069213867188,-116.70835865,50.62494375,1667.11682128906
"113",-14.57701587677,-116.62502535,50.62494375,2206.66796875
"114",-14.9290914535522,-116.54169205,50.62494375,2628.54370117188
"115",-14.6108512878418,-116.45835875,50.62494375,2180.04736328125
"116",-14.4268531799316,-116.37502545,50.62494375,2365.201171875
"117",-13.7461280822754,-116.29169215,50.62494375,1273.25598144531
"118",-13.2370262145996,-116.20835885,50.62494375,1040.26086425781
"119",-13.0282955169678,-116.12502555,50.62494375,982.46240234375
"120",-13.8109331130981,-116.04169225,50.62494375,1392.52673339844
"121",-11.0056304931641,-117.95835815,50.54161045,688.24560546875
"122",-11.7739114761353,-117.87502485,50.54161045,1292.51440429688
"123",-12.6071500778198,-117.79169155,50.54161045,1729.21765136719
"124",-12.8012962341309,-117.70835825,50.54161045,1873.35900878906
"125",-13.0912752151489,-117.62502495,50.54161045,1765.03393554688
"126",-12.8813610076904,-117.54169165,50.54161045,2028.14855957031
"127",-12.6004467010498,-117.45835835,50.54161045,1808.85083007812
"128",-12.1569356918335,-117.37502505,50.54161045,721
"129",-13.0244474411011,-117.29169175,50.54161045,1735.13781738281
"130",-12.8192014694214,-117.20835845,50.54161045,1064.35925292969
"131",-13.487232208252,-117.12502515,50.54161045,2327.46630859375
"132",-12.4728689193726,-117.04169185,50.54161045,1852.29357910156
"133",-12.8441171646118,-116.95835855,50.54161045,927.536071777344
"134",-13.4845762252808,-116.87502525,50.54161045,1600.37878417969
"135",-13.2807531356812,-116.79169195,50.54161045,1750.8935546875
"136",-14.3420829772949,-116.70835865,50.54161045,2405.00390625
"137",-14.5562629699707,-116.62502535,50.54161045,2398.33325195312
"138",-14.086386680603,-116.54169205,50.54161045,1976.71545410156
"139",-14.185019493103,-116.45835875,50.54161045,2246.40454101562
"140",-14.021918296814,-116.37502545,50.54161045,1629.44555664062
"141",-13.8685874938965,-116.29169215,50.54161045,1853.85363769531
"142",-13.5255603790283,-116.20835885,50.54161045,1500.05688476562
"143",-12.9994010925293,-116.12502555,50.54161045,988.163940429688
"144",-13.0378313064575,-116.04169225,50.54161045,801.935180664062
"145",-10.8319625854492,-117.95835815,50.45827715,445.117523193359
"146",-11.2234830856323,-117.87502485,50.45827715,495.204803466797
"147",-12.3048639297485,-117.79169155,50.45827715,1680.60803222656
"148",-12.5989627838135,-117.70835825,50.45827715,1407.07678222656
"149",-12.610743522644,-117.62502495,50.45827715,1391.37280273438
"150",-13.1293859481812,-117.54169165,50.45827715,1709.42736816406
"151",-13.149486541748,-117.45835835,50.45827715,1471.44885253906
"152",-12.9587736129761,-117.37502505,50.45827715,1278.82885742188
"153",-12.4502468109131,-117.29169175,50.45827715,1976.21057128906
"154",-12.2165374755859,-117.20835845,50.45827715,895.721496582031
"155",-13.0497283935547,-117.12502515,50.45827715,2062.83447265625
"156",-12.8501768112183,-117.04169185,50.45827715,1483.62658691406
"157",-11.8928718566895,-116.95835855,50.45827715,1161.08068847656
"158",-13.0371189117432,-116.87502525,50.45827715,1802.75695800781
"159",-14.2731952667236,-116.79169195,50.45827715,2630.48266601562
"160",-14.7053956985474,-116.70835865,50.45827715,2694.57690429688
"161",-14.4222869873047,-116.62502535,50.45827715,1908.87634277344
"162",-14.3824415206909,-116.54169205,50.45827715,2277.74389648438
"163",-14.9748792648315,-116.45835875,50.45827715,3141.32763671875
"164",-14.9420700073242,-116.37502545,50.45827715,2642.24291992188
"165",-14.1058511734009,-116.29169215,50.45827715,2182.28540039062
"166",-13.8501348495483,-116.20835885,50.45827715,1594.57983398438
"167",-13.5867776870728,-116.12502555,50.45827715,1772.73681640625
"168",-12.9279088973999,-116.04169225,50.45827715,971.118774414062
"169",-10.8731527328491,-117.95835815,50.37494385,650.808776855469
"170",-11.5162048339844,-117.87502485,50.37494385,778.181579589844
"171",-12.4782476425171,-117.79169155,50.37494385,1783.16394042969
"172",-12.7783994674683,-117.70835825,50.37494385,1691.615234375
"173",-12.8007764816284,-117.62502495,50.37494385,1492.76989746094
"174",-12.8396053314209,-117.54169165,50.37494385,2252.12915039062
"175",-12.7198867797852,-117.45835835,50.37494385,1606.85522460938
"176",-13.3731327056885,-117.37502505,50.37494385,2327.35620117188
"177",-13.2535972595215,-117.29169175,50.37494385,2471.35302734375
"178",-12.7203197479248,-117.20835845,50.37494385,1311.35705566406
"179",-12.1409282684326,-117.12502515,50.37494385,1405.52478027344
"180",-12.041130065918,-117.04169185,50.37494385,835.938415527344
"181",-11.4847545623779,-116.95835855,50.37494385,580
"182",-13.2877616882324,-116.87502525,50.37494385,1744.96179199219
"183",-13.8204298019409,-116.79169195,50.37494385,2132.56567382812
"184",-13.4907913208008,-116.70835865,50.37494385,1601.62109375
"185",-14.052206993103,-116.62502535,50.37494385,2275.36962890625
"186",-14.2955188751221,-116.54169205,50.37494385,2146.42553710938
"187",-14.0630407333374,-116.45835875,50.37494385,1657.89721679688
"188",-13.7868204116821,-116.37502545,50.37494385,2027.6767578125
"189",-14.0185918807983,-116.29169215,50.37494385,1964.38818359375
"190",-14.5671768188477,-116.20835885,50.37494385,2212.16235351562
"191",-14.2400608062744,-116.12502555,50.37494385,1916.90563964844
"192",-13.5751752853394,-116.04169225,50.37494385,1693.5087890625
"193",-11.3484754562378,-117.95835815,50.29161055,1236.3974609375
"194",-10.9058485031128,-117.87502485,50.29161055,441
"195",-11.9103536605835,-117.79169155,50.29161055,1429.74987792969
"196",-12.1470432281494,-117.70835825,50.29161055,790.150085449219
"197",-12.3075246810913,-117.62502495,50.29161055,1265.11364746094
"198",-12.6419439315796,-117.54169165,50.29161055,1960.59448242188
"199",-12.7330875396729,-117.45835835,50.29161055,2255.44287109375
"200",-13.1481370925903,-117.37502505,50.29161055,1975.88830566406
"201",-13.2998476028442,-117.29169175,50.29161055,2121
"202",-13.4561405181885,-117.20835845,50.29161055,1888.07678222656
"203",-13.4787607192993,-117.12502515,50.29161055,1903.98864746094
"204",-11.8294525146484,-117.04169185,50.29161055,1242.880859375
"205",-11.3218793869019,-116.95835855,50.29161055,670.39599609375
"206",-12.7510662078857,-116.87502525,50.29161055,1446.28149414062
"207",-13.698037147522,-116.79169195,50.29161055,2787.18725585938
"208",-14.0560865402222,-116.70835865,50.29161055,2833.8271484375
"209",-13.844141960144,-116.62502535,50.29161055,1737.51647949219
"210",-13.9996109008789,-116.54169205,50.29161055,2221.74072265625
"211",-13.7717628479004,-116.45835875,50.29161055,1869.66284179688
"212",-14.3393087387085,-116.37502545,50.29161055,2834.96630859375
"213",-14.2400341033936,-116.29169215,50.29161055,2298.94604492188
"214",-14.1676664352417,-116.20835885,50.29161055,2494.82153320312
"215",-14.0865325927734,-116.12502555,50.29161055,2379.66528320312
"216",-13.5645532608032,-116.04169225,50.29161055,1725.89807128906
"217",-11.2391510009766,-117.95835815,50.20827725,637.708190917969
"218",-11.4689416885376,-117.87502485,50.20827725,1338.77380371094
"219",-10.9092388153076,-117.79169155,50.20827725,441
"220",-11.6691474914551,-117.70835825,50.20827725,592.662963867188
"221",-12.4250478744507,-117.62502495,50.20827725,1955.619140625
"222",-12.2909908294678,-117.54169165,50.20827725,1308.38684082031
"223",-12.3736476898193,-117.45835835,50.20827725,2021.31127929688
"224",-12.7066488265991,-117.37502505,50.20827725,2230.71240234375
"225",-12.9919137954712,-117.29169175,50.20827725,2263.20190429688
"226",-13.3150901794434,-117.20835845,50.20827725,1966.01379394531
"227",-12.8549118041992,-117.12502515,50.20827725,1062.7265625
"228",-12.3279218673706,-117.04169185,50.20827725,1672.23205566406
"229",-11.345606803894,-116.95835855,50.20827725,541.193176269531
"230",-12.6128263473511,-116.87502525,50.20827725,1221.150390625
"231",-13.1629800796509,-116.79169195,50.20827725,2026.94372558594
"232",-13.8074493408203,-116.70835865,50.20827725,2424.08862304688
"233",-13.9869947433472,-116.62502535,50.20827725,2069.95849609375
"234",-14.2261829376221,-116.54169205,50.20827725,2681.54809570312
"235",-13.9776306152344,-116.45835875,50.20827725,2434.0361328125
"236",-13.8389825820923,-116.37502545,50.20827725,1606.22314453125
"237",-14.2498397827148,-116.29169215,50.20827725,2581.67993164062
"238",-14.101770401001,-116.20835885,50.20827725,2335.88647460938
"239",-14.045524597168,-116.12502555,50.20827725,2314.36010742188
"240",-13.2663202285767,-116.04169225,50.20827725,1328.8525390625
"241",-11.0669755935669,-117.95835815,50.12494395,537.177612304688
"242",-11.454384803772,-117.87502485,50.12494395,770.969909667969
"243",-11.3653354644775,-117.79169155,50.12494395,867.415222167969
"244",-11.9240379333496,-117.70835825,50.12494395,1196.37072753906
"245",-12.1612224578857,-117.62502495,50.12494395,1944.84533691406
"246",-11.9008989334106,-117.54169165,50.12494395,691.665649414062
"247",-12.15163230896,-117.45835835,50.12494395,1415.71435546875
"248",-11.7674627304077,-117.37502505,50.12494395,722.808776855469
"249",-13.0056238174438,-117.29169175,50.12494395,2017.04736328125
"250",-13.255934715271,-117.20835845,50.12494395,2034.12976074219
