"","O18","NA.","NA..1","elev"
"1",-15.2672986984253,-117.95835815,50.95827695,2031.4031999998
"2",-14.7435503005981,-117.87502485,50.95827695,1724.23840000001
"3",-15.1139783859253,-117.79169155,50.95827695,1817.94597248021
"4",-15.1829786300659,-117.70835825,50.95827695,2118.75199999994
"5",-13.3642711639404,-117.62502495,50.95827695,1000.48568256002
"6",-15.2626495361328,-117.54169165,50.95827695,2405.80289471963
"7",-15.7123899459839,-117.45835835,50.95827695,1899.22960000003
"8",-16.1120357513428,-117.37502505,50.95827695,2845.59435712005
"9",-15.6612377166748,-117.29169175,50.95827695,1721.4143999997
"10",-15.0446949005127,-117.20835845,50.95827695,1108.17074496004
"11",-16.2719020843506,-117.12502515,50.95827695,2622.05280000007
"12",-16.7654132843018,-117.04169185,50.95827695,2675.18159999988
"13",-15.7895555496216,-116.95835855,50.95827695,1625.69680000002
"14",-15.9143323898315,-116.87502525,50.95827695,2214.71610943951
"15",-15.6488237380981,-116.79169195,50.95827695,2246.08504768012
"16",-14.8249473571777,-116.70835865,50.95827695,1125.97962431999
"17",-14.1244516372681,-116.62502535,50.95827695,1101.55679999997
"18",-14.0449542999268,-116.54169205,50.95827695,965
"19",-14.0930328369141,-116.45835875,50.95827695,930.889007999723
"20",-15.4316101074219,-116.37502545,50.95827695,1572.93719999995
"21",-15.9369163513184,-116.29169215,50.95827695,2287.47034816013
"22",-15.185661315918,-116.20835885,50.95827695,1344.59919999985
"23",-15.6901216506958,-116.12502555,50.95827695,1514.44320000003
"24",-16.4011325836182,-116.04169225,50.95827695,2055.89021696019
"25",-14.1569423675537,-117.95835815,50.87494365,752.681600000463
"26",-13.9890232086182,-117.87502485,50.87494365,1445.73821376018
"27",-15.2490081787109,-117.79169155,50.87494365,1991.88185024007
"28",-14.5778541564941,-117.70835825,50.87494365,1564.27839999909
"29",-13.2722444534302,-117.62502495,50.87494365,721.310399999967
"30",-14.5700483322144,-117.54169165,50.87494365,1082.76696255994
"31",-15.6470813751221,-117.45835835,50.87494365,2210.33394687934
"32",-16.0457801818848,-117.37502505,50.87494365,1804.06082176016
"33",-16.0904331207275,-117.29169175,50.87494365,1647.46072512031
"34",-14.7427234649658,-117.20835845,50.87494365,1508.50560000009
"35",-16.0976848602295,-117.12502515,50.87494365,2550.18269119943
"36",-16.107421875,-117.04169185,50.87494365,1758.82077439955
"37",-15.7262268066406,-116.95835855,50.87494365,2288.13491136027
"38",-15.8011703491211,-116.87502525,50.87494365,1554.96240000003
"39",-16.7302799224854,-116.79169195,50.87494365,2224.63620096013
"40",-16.9749450683594,-116.70835865,50.87494365,2619.4360000004
"41",-15.4224882125854,-116.62502535,50.87494365,2000.50791231969
"42",-14.3720474243164,-116.54169205,50.87494365,1409.25061183986
"43",-14.0398035049438,-116.45835875,50.87494365,1041.17760000003
"44",-13.8258275985718,-116.37502545,50.87494365,809.131599999907
"45",-15.2995452880859,-116.29169215,50.87494365,1362.28157248014
"46",-16.3058681488037,-116.20835885,50.87494365,2232.25375167904
"47",-15.482741355896,-116.12502555,50.87494365,1783.23511231966
"48",-14.7936248779297,-116.04169225,50.87494365,1167.23996351987
"49",-14.2216844558716,-117.95835815,50.79161035,1365.14703680002
"50",-14.8871793746948,-117.87502485,50.79161035,2009.66160000024
"51",-14.7445831298828,-117.79169155,50.79161035,1947.86255040008
"52",-13.8112363815308,-117.70835825,50.79161035,1439.61262400013
"53",-13.5695934295654,-117.62502495,50.79161035,998.445599999899
"54",-15.4647970199585,-117.54169165,50.79161035,1720.5374623991
"55",-15.3529930114746,-117.45835835,50.79161035,1641.59920000023
"56",-14.9047040939331,-117.37502505,50.79161035,1601.47360000007
"57",-15.1337471008301,-117.29169175,50.79161035,1088.68012479993
"58",-14.3163595199585,-117.20835845,50.79161035,876.943004799904
"59",-15.6674070358276,-117.12502515,50.79161035,1947.23999999991
"60",-16.0807228088379,-117.04169185,50.79161035,2328.5553120002
"61",-16.6406421661377,-116.95835855,50.79161035,2219.90762880023
"62",-16.7055225372314,-116.87502525,50.79161035,2604.21894080001
"63",-16.3310661315918,-116.79169195,50.79161035,2335.40739840007
"64",-15.9151782989502,-116.70835865,50.79161035,2064.23794559975
"65",-16.5194396972656,-116.62502535,50.79161035,2338.31001280001
"66",-16.4029026031494,-116.54169205,50.79161035,1946.30479999991
"67",-14.9811735153198,-116.45835875,50.79161035,2040.91543999952
"68",-14.1698799133301,-116.37502545,50.79161035,1120.57399999993
"69",-14.0539121627808,-116.29169215,50.79161035,1094.53759999997
"70",-14.4934377670288,-116.20835885,50.79161035,906.906652800101
"71",-15.57204246521,-116.12502555,50.79161035,1451.66880000005
"72",-15.6840057373047,-116.04169225,50.79161035,2217.96559999964
"73",-12.2901668548584,-117.95835815,50.70827705,441
"74",-13.4998159408569,-117.87502485,50.70827705,1163.23483455983
"75",-12.3719549179077,-117.79169155,50.70827705,441
"76",-13.21702003479,-117.70835825,50.70827705,807.412799999981
"77",-14.7509460449219,-117.62502495,50.70827705,1811.17679999989
"78",-15.395827293396,-117.54169165,50.70827705,1789.18691264008
"79",-14.6304988861084,-117.45835835,50.70827705,1059.31360000003
"80",-15.6552410125732,-117.37502505,50.70827705,2506.75415872005
"81",-15.4484767913818,-117.29169175,50.70827705,1480.44222527978
"82",-15.0556669235229,-117.20835845,50.70827705,2054.4001977601
"83",-13.9503612518311,-117.12502515,50.70827705,1117.51111679996
